time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656331210,c1e865,43.69457244873047,-79.63155702103018,,,,SAF208  ,True,False,False,,,,1656331207.929,1656331209.109
1656331210,c01e28,43.76165771484375,-79.53673606695128,89.15924529378898,226.63657704161673,-4.22656,ACA401  ,False,False,False,1076,731.52,723.9,1656331209.53,1656331209.968
1656331210,c04167,43.89098603846663,-79.4518824986049,89.17853724712467,326.76828893202065,8.45312,CFYTY   ,False,False,False,6353,5143.5,5227.32,1656331209.931,1656331209.968
1656331210,aa395b,42.993924415717686,-79.03204781668529,212.6801341361019,323.65675409661463,-0.65024,SKW3017 ,False,False,False,1150,10980.42,11369.04,1656331209.846,1656331209.982
1656331210,78149e,43.68783207262977,-79.64427403041293,69.48803651411026,225.89985971490438,-0.65024,CSN5051 ,False,False,False,4153,137.16,137.16,1656331209.643,1656331209.903
1656331210,c1e95a,43.686342401019594,-79.6230697631836,,,,SWP269  ,True,False,False,,,,1656331209.678,1656331209.678
1656331210,c07eda,43.887725830078125,-79.87399079078847,158.77662136979723,127.76101095215213,-6.827520000000001,WJA520  ,False,False,False,7165,2750.82,2781.3,1656331209.904,1656331209.969
1656331210,a162fc,43.602630615234375,-79.27300031795056,243.04961088108445,46.20063398152505,-13.329920000000001,N189K   ,False,False,False,6640,5425.4400000000005,5516.88,1656331210.0,1656331210.0
1656331210,c063c3,43.78424175715042,-80.17828805106029,91.09291154601516,178.38190546726256,-2.60096,CGLUG   ,False,False,False,0654,1394.46,1386.8400000000001,1656331209.565,1656331209.968
1656331210,c0371f,43.544403076171875,-79.76118930550507,128.71076344279135,252.79625007272,1.30048,WJA701  ,False,False,False,2244,2103.12,2110.74,1656331209.678,1656331209.918
1656331210,c060b3,43.27716064453125,-79.08316678779067,126.7465156964259,342.5211179304797,-5.20192,POE118  ,False,False,False,4361,2019.3000000000002,2042.16,1656331209.565,1656331209.997
1656331210,c082c8,43.69404602050781,-79.64008420012715,7.365717139076141,65.22485943116808,0.0,RAG200  ,False,False,False,6337,144.78,137.16,1656331207.979,1656331209.178
1656331210,a70812,43.66557312011719,-79.61140477380087,79.33120143332054,226.57655005518373,0.0,JIA5117 ,False,False,False,0546,144.78,129.54,1656331208.4,1656331209.968
1656331210,c08048,43.631103515625,-79.72222616506173,105.00834153985788,181.96526057192054,4.55168,HRT119  ,False,False,False,6320,1402.0800000000002,1394.4600000000003,1656331209.881,1656331209.903
1656331210,c06973,43.90178615764036,-80.31404767717635,51.34656260600929,24.253919724316592,0.97536,CGNYG   ,False,False,False,1200,883.9200000000001,883.9200000000001,1656331209.968,1656331209.968
1656331210,a6f280,43.80025572695974,-79.43043300083707,82.53740562066254,253.71122596994053,1.30048,LXJ547  ,False,False,False,4123,891.5400000000001,883.9200000000001,1656331209.62,1656331209.972
1656331210,ac71e7,43.679464307882014,-79.59714072091236,,,,AAL1746 ,True,False,False,2237,,,1656331209.968,1656331209.968
1656331210,a1094c,43.169952392578125,-79.12921994231465,165.6709374485019,309.0765985223856,-8.128,EDV4942 ,False,False,False,7135,4831.08,4930.14,1656331209.678,1656331209.997
